givenName,familyName,birthDate,creditRating
Halina,Leary,1961-06-01,738
Vennie,Jorden,1962-11-13,699
Katharine,Contos,1964-07-26,452
Brigid,Tignor,1972-07-06,537
Londa,Gokey,1977-02-14,500
Alden,Pride,1978-06-29,694
Charlotte,Snoddy,1981-10-03,743
Cherish,Foxworth,1982-04-27,786
Brittani,Rattler,1982-09-15,702
Elliott,Beyers,1983-06-14,651
Alene,Riess,1983-08-27,605
Ceola,Winberg,1985-10-07,556
Ryann,Krajewski,1986-09-10,662
Donita,Whiddon,1986-10-01,701
Rickie,Nolen,1991-04-11,542
Dwight,Wunsch,1992-12-28,696
Federico,Briski,1996-07-21,709
Annamarie,Rushin,1997-02-23,548
Hollie,Ngo,1997-05-28,510
Fermina,Sandridge,1997-08-24,587
